,text,label
0,want eat pussy,1
1,eat generic ore baller budget bitch,1
2,dyke aren even human th like empowered dress like man but like bitch alien shit,1
3,comparison beatles bunch cunt but band matter face imo stone second,1
4,everything want amp everything bitch going talk shit don let stop shine,1
5,don know not welcome saturday bitch,1
6,need accept fact hipster faggot,1
7,surprise bitch,1
8,nigua talking bout school ever choice bitch,1
9,also suck dick doesn mean act like faggot,1
10,boldest side hoe come front girl start touching niggun,1
11,overtime bitch,1
12,deaf hoe,1
13,woke sore throat cold nigger nigger terrible,1
14,ain bout listen nigua rap eating pussy,1
15,twitter bitch isn selling choker,1
16,think muslim friend raping girl around world lisp,1
17,well love stay and chat but total bitch,1
18,since feminist amp love joke thought would like one right,1
19,give bitch good head assure back,1
20,fall love fall asleep,1
21,damn ain got bitch byth,1
22,look like pussy lip huge,1
23,won million dollar would,1
24,know random nigger and bitch wish worst eachother look tweet,1
25,remember relationship friend not let hoe,1
26,making sweet love hand cause cant buy hoe tonight,1
27,chance make champion sicca ain nothing stopping,1
28,seen baddest bitch tower city heart got warm,1
29,new flame song low bitch super run like,1
30,loyal pussy forever bein better bitch thats passed around,1
31,not idiot retreat thing like nigger hunting license never existed fraud,1
32,bitch turned bitched turned,1
33,pussy,1
34,st rape faced faggot man sick nigua,1
35,fuck fat mexican bitch,1
36,yeah asian as embrace,1
37,good dick tattoo bitch like dat talk dem kind way bitch like dat,1
38,not sure broke nig,1
39,not sexist but seriously female need able cook dna,1
40,know staking claim etherist full crush suck married,1
41,okay closet fag,1
42,one room full bad bitch omao believe kicking main space,1
43,baby make pussy again often,1
44,yeah right queer piece as ever got finger broke thru toilet paper,1
45,exactly isi follows quran and hadith letter,1
46,bitch don like but and happen,1
47,tested yea queer bait,1
48,haha whyyyyy hate school noooooo,1
49,pull bitch,1
50,girl talking catching feeling bitch need catch pas throw tmh,1
51,org chloe pulled house like come outside bitch hell cray,1
52,suspended new acct stalked day legit issue kid glove,1
53,hoe mane let inside remember,1
54,exactly well executed rebuild but not rewrite history tanked fleury amp genu did gary rigging lockout draft,1
55,girl gape faggot say pussy shit like swear,1
56,height shit aint cute all dumb hoe going public looking like jack and bean stalk,1
57,look bitch walking close future husband hrvjzuxlyw,1
58,asked two best friend describe three word get back bos as bitch and short feisty and mexican love friend,1
59,scared orientation hate meeting new people gonna think quiet girl but really craziest bitch ever meet,1
60,bitch,1
61,shut cracker jack buck teeth as native and nigua best kind,1
62,isi mortared kobans killing woman and child called isi coward low idiot,1
63,fantasy reign start today got pussy nigua los first omao mon seattle cut upppppp,1
64,gotta understand bitch childish,1
65,wouldn last day hoe,1
66,best describes kat and andre taa wi,1
67,ma side bitch time time and stay place,1
68,problem but bitch ain,1
69,reliable number but small town police department nine year study case false,1
70,bitch don want fat as following hoe,1
71,bitch want best friend damn hey don forget fullmoon together tonight,1
72,perhaps girl spent le time looking amp kissing mirror and time preparation amp cooking would better,1
73,ask number lame like cut robbin bitch turn,1
74,not watched part reunion hoe don even care,1
75,tlc chilli and bullied son moustache and seem share clothes yer public eye stop cry flaky bitch,1
76,one good girl worth bitch,1
77,hey please translate nonsensical nonanswer,1
78,boy damn ritt got as bitch slapped court yard coming period yell shit,1
79,not sexist but not like thor woman male mythological figure like making zeus chick,1
80,call sexist not care but pakistani girl know make roti,1
81,hope way fuck continuously,1
82,wanna see tall lanky as plain tennis low,1
83,fake lameter know like lot hate group space,1
84,better nig low but anything ill flip something trypa get cash,1
85,say fun name hoe,1
86,happy service anything compare hate not working city and whirlpool like eye,1
87,racist month fuck honkey,1
88,call cunt hand fucker,1
89,got bitch tip toeing marble floor,1
90,people love touch hair too real yes bitch,1
91,swear god nigger better still hang work got hype,1
92,mantra stupid prof kyd,1
93,not sexist but letting red ranger female pas not right red ranger always guy exception,1
94,look see tweet pure hatred look see light stupidity,1
